address_id,customer_id,address_type,address_line_1,address_line_2,city,state,country,postal_code
1,3093,Office,Line1,Line2,Ahmedabad,Gujarat,India,380123
2,4225,Office,Line1,Line2,Ahmedabad,Gujarat,India,380446
3,2207,Office,Line1,Line2,Ahmedabad,Gujarat,India,380943
4,4790,Home,Line1,Line2,Ahmedabad,Gujarat,India,380884
5,550,Office,Line1,Line2,Ahmedabad,Gujarat,India,380023
6,75,Home,Line1,Line2,Ahmedabad,Gujarat,India,380527
7,340,Home,Line1,Line2,Ahmedabad,Gujarat,India,380694
8,1971,Home,Line1,Line2,Ahmedabad,Gujarat,India,380175
9,1334,Office,Line1,Line2,Ahmedabad,Gujarat,India,380223
10,704,Office,Line1,Line2,Ahmedabad,Gujarat,India,380465
11,317,Home,Line1,Line2,Ahmedabad,Gujarat,India,380120
12,2464,Home,Line1,Line2,Ahmedabad,Gujarat,India,380110
13,2761,Home,Line1,Line2,Ahmedabad,Gujarat,India,380498
14,1314,Home,Line1,Line2,Ahmedabad,Gujarat,India,380576
15,2697,Office,Line1,Line2,Ahmedabad,Gujarat,India,380805
16,131,Home,Line1,Line2,Ahmedabad,Gujarat,India,380832
17,2152,Home,Line1,Line2,Ahmedabad,Gujarat,India,380093
18,1185,Home,Line1,Line2,Ahmedabad,Gujarat,India,380160
19,1338,Office,Line1,Line2,Ahmedabad,Gujarat,India,380784
20,4602,Home,Line1,Line2,Ahmedabad,Gujarat,India,380564
21,3250,Home,Line1,Line2,Ahmedabad,Gujarat,India,380322
22,4157,Home,Line1,Line2,Ahmedabad,Gujarat,India,380608
23,53,Home,Line1,Line2,Ahmedabad,Gujarat,India,380918
24,3224,Office,Line1,Line2,Ahmedabad,Gujarat,India,380516
25,2806,Office,Line1,Line2,Ahmedabad,Gujarat,India,380053
26,2623,Home,Line1,Line2,Ahmedabad,Gujarat,India,380752
27,4316,Office,Line1,Line2,Ahmedabad,Gujarat,India,380354
28,4196,Home,Line1,Line2,Ahmedabad,Gujarat,India,380656
29,1272,Office,Line1,Line2,Ahmedabad,Gujarat,India,380238
30,2616,Office,Line1,Line2,Ahmedabad,Gujarat,India,380951
31,4128,Home,Line1,Line2,Ahmedabad,Gujarat,India,380745
32,3663,Home,Line1,Line2,Ahmedabad,Gujarat,India,380865
33,3874,Office,Line1,Line2,Ahmedabad,Gujarat,India,380784
34,2264,Office,Line1,Line2,Ahmedabad,Gujarat,India,380729
35,854,Office,Line1,Line2,Ahmedabad,Gujarat,India,380966
36,4754,Office,Line1,Line2,Ahmedabad,Gujarat,India,380491
37,1856,Home,Line1,Line2,Ahmedabad,Gujarat,India,380041
38,4304,Home,Line1,Line2,Ahmedabad,Gujarat,India,380453
39,1289,Home,Line1,Line2,Ahmedabad,Gujarat,India,380927
40,1772,Office,Line1,Line2,Ahmedabad,Gujarat,India,380148
41,600,Office,Line1,Line2,Ahmedabad,Gujarat,India,380399
42,2920,Office,Line1,Line2,Ahmedabad,Gujarat,India,380392
43,4224,Office,Line1,Line2,Ahmedabad,Gujarat,India,380055
44,2515,Home,Line1,Line2,Ahmedabad,Gujarat,India,380959
45,1869,Office,Line1,Line2,Ahmedabad,Gujarat,India,380716
46,4407,Home,Line1,Line2,Ahmedabad,Gujarat,India,380663
47,4058,Office,Line1,Line2,Ahmedabad,Gujarat,India,380092
48,973,Office,Line1,Line2,Ahmedabad,Gujarat,India,380088
49,250,Home,Line1,Line2,Ahmedabad,Gujarat,India,380471
50,1213,Home,Line1,Line2,Ahmedabad,Gujarat,India,380439
51,304,Office,Line1,Line2,Ahmedabad,Gujarat,India,380893
52,4729,Office,Line1,Line2,Ahmedabad,Gujarat,India,380668
53,4458,Home,Line1,Line2,Ahmedabad,Gujarat,India,380361
54,2936,Office,Line1,Line2,Ahmedabad,Gujarat,India,380673
55,2307,Office,Line1,Line2,Ahmedabad,Gujarat,India,380753
56,1090,Office,Line1,Line2,Ahmedabad,Gujarat,India,380983
57,1369,Home,Line1,Line2,Ahmedabad,Gujarat,India,380863
