customer_id,first_name,last_name,email,phone,gender,birth_date,registration_date,loyalty_points
1,Arjun,Modi,arjun.modi1@gmail.com,9923974559,Female,1971-08-08,2021-03-10,3729
2,Riya,Kapoor,riya.kapoor2@gmail.com,9922842611,Female,1978-01-04,2021-09-04,2326
3,Neha,Mehta,neha.mehta3@gmail.com,9758661182,Female,1981-07-04,2021-01-09,1842
4,Aarav,Trivedi,aarav.trivedi4@gmail.com,9228681267,Female,1995-08-17,2024-11-09,1116
5,Neha,Desai,neha.desai5@gmail.com,9251875017,Male,1992-10-17,2022-05-29,3115
6,Priya,Bhatt,priya.bhatt6@gmail.com,9708057500,Male,1973-11-09,2020-04-26,3902
7,Diya,Modi,diya.modi7@gmail.com,9369851009,Female,2004-01-22,2024-05-22,35
8,Ananya,Joshi,ananya.joshi8@gmail.com,9902656378,Male,1992-10-07,2025-11-02,1138
9,Vivaan,Bhatt,vivaan.bhatt9@gmail.com,9894624506,Female,1978-08-13,2024-03-10,864
10,Neha,Joshi,neha.joshi10@gmail.com,9556127894,Female,2001-11-01,2022-03-31,2858
11,Ananya,Shah,ananya.shah11@gmail.com,9675833053,Female,1973-10-28,2023-05-21,1082
12,Neha,Mehta,neha.mehta12@gmail.com,9791961764,Male,1986-02-12,2024-02-23,4575
13,Vivaan,Trivedi,vivaan.trivedi13@gmail.com,9769372493,Male,1971-09-15,2025-11-04,3307
14,Vivaan,Joshi,vivaan.joshi14@gmail.com,9935125876,Female,1992-10-28,2022-05-29,1153
15,Aditya,Patel,aditya.patel15@gmail.com,9982187271,Female,1995-03-15,2022-01-31,810
16,Riya,Desai,riya.desai16@gmail.com,9141065409,Male,1976-05-07,2020-07-19,4042
17,Aarav,Desai,aarav.desai17@gmail.com,9809017573,Male,2002-05-28,2024-10-20,485
18,Priya,Shah,priya.shah18@gmail.com,9951887137,Female,1972-12-25,2022-03-23,2615
19,Riya,Mehta,riya.mehta19@gmail.com,9746462064,Female,1986-03-27,2024-02-24,3361
20,Priya,Trivedi,priya.trivedi20@gmail.com,9479739587,Male,2005-02-24,2022-03-07,3270
21,Vivaan,Gupta,vivaan.gupta21@gmail.com,9780013550,Female,1974-12-28,2025-09-08,2341
22,Ananya,Kapoor,ananya.kapoor22@gmail.com,9686196538,Female,1990-11-02,2024-12-18,1142
23,Aditya,Desai,aditya.desai23@gmail.com,9797613969,Female,2004-07-04,2020-03-24,966
24,Diya,Mehta,diya.mehta24@gmail.com,9661424807,Female,1991-02-28,2025-02-06,4309
25,Diya,Modi,diya.modi25@gmail.com,9549147738,Female,1987-11-16,2023-11-17,3710
26,Ananya,Kapoor,ananya.kapoor26@gmail.com,9181181649,Male,1999-12-25,2024-02-02,4562
27,Arjun,Trivedi,arjun.trivedi27@gmail.com,9106356281,Female,1992-01-26,2020-01-17,1399
28,Diya,Mehta,diya.mehta28@gmail.com,9880576278,Male,1973-04-05,2025-10-21,4948
29,Ananya,Joshi,ananya.joshi29@gmail.com,9856940304,Female,1993-06-16,2022-05-21,3613
30,Aditya,Bhatt,aditya.bhatt30@gmail.com,9912549080,Female,1985-11-02,2020-09-17,4158
31,Aditya,Trivedi,aditya.trivedi31@gmail.com,9143350710,Female,1973-11-24,2020-12-15,1338
32,Aarav,Joshi,aarav.joshi32@gmail.com,9611644154,Male,1978-03-12,2025-05-04,1340
33,Aditya,Joshi,aditya.joshi33@gmail.com,9431682951,Female,1975-04-16,2021-12-24,1229
34,Riya,Gupta,riya.gupta34@gmail.com,9379029560,Female,2004-10-24,2022-03-30,2225
35,Diya,Trivedi,diya.trivedi35@gmail.com,9532502733,Female,1981-06-21,2025-05-02,4944
36,Neha,Shah,neha.shah36@gmail.com,9700511723,Male,1992-04-08,2024-06-08,3232
37,Priya,Gupta,priya.gupta37@gmail.com,9248726223,Female,1989-09-01,2020-04-10,3228
38,Diya,Desai,diya.desai38@gmail.com,9409781739,Female,1999-04-27,2021-08-11,140
39,Ananya,Modi,ananya.modi39@gmail.com,9995241874,Male,1996-01-13,2023-02-07,2524
40,Aditya,Shah,aditya.shah40@gmail.com,9869443700,Female,2000-02-24,2024-10-25,1345
41,Arjun,Gupta,arjun.gupta41@gmail.com,9664847170,Female,1970-05-27,2021-08-01,226
42,Neha,Shah,neha.shah42@gmail.com,9452096377,Female,1972-10-26,2023-11-14,954
43,Vivaan,Joshi,vivaan.joshi43@gmail.com,9929888110,Female,1986-10-19,2024-08-14,799
44,Ananya,Shah,ananya.shah44@gmail.com,9140245076,Male,1981-12-09,2021-02-26,2694
45,Aarav,Desai,aarav.desai45@gmail.com,9624592448,Female,1981-04-10,2025-05-07,2812
46,Riya,Joshi,riya.joshi46@gmail.com,9999007562,Male,1993-07-09,2022-12-16,2722
47,Diya,Desai,diya.desai47@gmail.com,9869697766,Male,1990-12-07,2025-03-05,2951
48,Krishna,Mehta,krishna.mehta48@gmail.com,9477759770,Female,2003-09-24,2024-08-17,4110
49,Neha,Desai,neha.desai49@gmail.com,9883890615,Female,1990-10-12,2023-11-06,3659
50,Arjun,Kapoor,arjun.kapoor50@gmail.com,9716192699,Male,1970-08-13,2022-04-01,567
51,Neha,Mehta,neha.mehta51@gmail.com,9252918735,Female,1984-05-13,2020-02-14,3242
